id	SC_unfresh_1	SC_fresh_5	SC_unfresh_2	SC_fresh_6	SC_unfresh_3	Myo_unfresh_1	SC_fresh_1	Myo_unfresh_2	SC_fresh_2	Myo_unfresh_3	SC_fresh_3	Myo_unfresh_4	SC_fresh_4
H2-Bl	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-D1	169	104	290	97	144	61	195	56	90	112	43	167	12
H2-DMa	10	3	19	0	7	10	3	4	3	4	0	10	1
H2-DMb1	6	1	19	2	8	9	3	0	3	0	1	1	0
H2-DMb2	0	0	0	0	0	1	0	0	0	0	0	0	0
H2-Ea-ps	0	0	11	0	5	0	0	0	0	0	0	0	0
H2-Eb1	26	3	70	5	40	1	20	2	7	3	3	1	5
H2-Eb2	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-K1	174	184	209	138	99	40	365	18	161	45	64	96	24
H2-K2	4	6	4	2	5	0	9	1	6	0	4	0	0
H2-Ke2	81	25	115	33	69	571	136	199	65	226	12	279	5
H2-Ke6	30	17	34	17	18	16	40	13	27	23	10	30	3
H2-L	1	0	0	0	0	0	0	0	0	0	0	0	0
H2-M1	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-M10.1	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-M10.2	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-M10.3	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-M10.4	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-M10.5	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-M10.6	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-M11	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-M2	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-M3	7	8	2	2	6	8	11	3	7	6	1	12	2
H2-M5	0	0	0	0	0	0	0	0	0	1	0	0	0
H2-M9	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-Oa	0	0	1	0	0	0	0	0	0	0	0	0	0
H2-Ob	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-Q1	0	0	0	1	0	0	0	0	0	0	0	0	0
H2-Q10	0	0	1	1	0	0	1	0	0	1	0	0	0
H2-Q2	0	0	0	0	0	0	0	0	0	0	0	0	0
